bicCode,Country,City,Company
JSLU,China,JIANGYIN,JIANGSU LINTEC ENGINEERING EQUIPMENT CO LTD
JSSU,Singapore,Singapore,THE CHINA NAVIGATION CO PTE LTD
JSVU,Spain,Miranda de Ebro. Burgos.,JSV LOGISTIC S.L.
JTAU,HK,Hongkong,JUNTAI CONTAINER COMPANY
JTDU,China,SHANGHAI,"SHANGHAI JIYANG TECHNOLOGY & DEVELOPMENT CO., LTD."
JTLU,China,"Taixing City, Jiangsu","JIANGSU TERCEL LOGISTICS EQUIPMENT CO., LTD"
JTMU,HK,Hong Kong,FLORENS ASSET MANAGEMENT COMPANY LIMITED
JTSU,United Arab Emirates,"Dubai, Jebel Ali",JOINT TANK SERVICES FZCO
JUHU,Germany,GIENGEN,BSH HAUSGERATE GMBH
JURU,Germany,LUDWIGSHAFEN,JURI KRAUS
JXJU,HK,"Kowloon, Hong Kong",GOLD STAR LINE LTD
JXLU,HK,"Kowloon, Hong Kong",GOLD STAR LINE LTD
JYTU,China,Fang cheng Port City,GUANGXI JINGYITONG LOGISTICS LTD
JZNU,Netherlands,VALKENBURG (Z.H),A.J JONGENEEL EN ZONEN TRANSPORT B.V
JZPU,China,Jinzhou,"JINZHOU PORT CO.,LTD."
JZTU,China,Jingzhou,TAIHE GASES (JINGZHOU) LTD
KALU,Germany,HAMBURG,NKG KALA HAMBURG GMBH
KASU,India,"PUNE, MAHARASHTRA",TAIYO NIPPON SANSO INDIA PVT. LTD.
KAZU,Russian Federation,Togliatti,JSC KUIBYSHEV AZOT
KBSU,Cambodia,Phnom Penh,K-BOX SOLUTION
KCBU,Japan,Kobe,"IMOTO LINES, LTD."
KCNU,Germany,KREUZAU,K-CON GMBH
KCOU,Finland,KOKKOLA,UMICORE FINLAND OY
KCPU,Japan,TOKYO,KOIKE MEDICAL CO LTD
KCSU,Singapore,Singapore,KANTO KAGAKU SINGAPORE PTE LTD
KCTU,Netherlands,ROTTERDAM,KC TRADING BV
KDCU,"Korea, Republic of",SEOUL,KUKDONG MARITIME EQUIPMENT SERVICE
KDEU,"Korea, Republic of",Gunpo,"ABANG LOGISTICS CO., LTD."
KDYU,Marshall Island,Majuro,KDY LOGISTICS AND CONTAINER A.S.
KEMU,Belgium,Brussels,KEMITO BVBA
KENU,Australia,Clayton,KENT REMOVALS & STORAGE
KERU,Norway,AALESUND,TEMPRA AS
KEYU,China,TIANJIN,FASTGROW / KEYUN GROUP
KFRU,United Kingdom,HALTWHISTLE,KILFROST LIMITED
KFTU,Germany,SCHWAIKHEIM,KAERCHER FUTURETECH GMBH
KGPU,Russian Federation,PETROPAVLOVSK-KAMCHATSKY,JSC  KAMCHATGAZPROM
KGSU,Germany,Offenbach,KGS KELLER GERATE & SERVICE GMBH
KHJU,Denmark,Copenhagen,MAERSK A/S
KHLU,Denmark,Copenhagen,MAERSK A/S
KIGU,Singapore,Singapore,KEN INDUSTRIAL GASES PTE LTD
KILU,Singapore,Singapore,KIMIA INTERNATIONAL PTE LTD
KIVU,Netherlands,EUROPOORT-ROTTERDAM,KEES INTL VEEN TANKTRANSPORTEN BV
KJCU,Singapore,Singapore,ITC REFRIGERATION PTE LTD
KKBU,Germany,Brunsbüttel,KERNKRAFTWERK BRUNSBUTTEL GMBH & CO. OHG
KKFU,Japan,TOKYO,KAWASAKI KISEN KAISHA LTD - K LINE
KKKU,Turkey,Istanbul,OZTURK KONTEYNER SAN VE TIC LTD STI
KKLU,Japan,TOKYO,KAWASAKI KISEN KAISHA LTD - K LINE
KKTU,Japan,TOKYO,KAWASAKI KISEN KAISHA LTD - K LINE
KKWU,HK,CENTRAL,WEST OCEAN SHIPPING COMPANY LIMITED
KLAU,Netherlands,UTRECHT,MINISTERIE VAN DEFENSIE
KLCU,France,MARSEILLE CEDEX 02,CMA-CGM
KLDU,Turkey,ISTANBUL,KALKEDON INTERNATIONAL TRANSPORT & TRADE LTD
KLFU,Japan,TOKYO,KAWASAKI KISEN KAISHA LTD - K LINE
KLIU,United States,"YORK, PA-17402",KLINGE CORPORATION
KLKU,Russian Federation,MOSCOW,CONTAINER LEASING COMPANY
KLNU,Thailand,BANGKOK,KART (THAILAND) LIMITED
KLOU,Germany,PETERSHAUSEN,KLOIBER GMBH
KLTU,Japan,TOKYO,KAWASAKI KISEN KAISHA LTD - K LINE
KLYU,Marshall Island,Majuro,SAMERUS REEFER CONTAINER S.A.
KMAU,Netherlands,DEN HAAG,ROYAL NETHERLANDS NAVY
KMBU,Japan,HIROSHIMA-PREF,KAMBARA KISEN CO LTD
KMCU,"Korea, Republic of",Seoul,KMARIN OCEAN LOGISTICS (KOL)
KMIU,"Taiwan, China",TAIPEI,KUANG MING ENTERPRISE CO. LTD
KMLU,China,DALIAN,MAXWAY MARITIME S.A
KMOU,Singapore,SINGAPORE,KAMYOO DEVELOPMENT HOLDING PTE. LTD.
KMPU,Belgium,Antwerpen,TANK ONE NV
KMTU,"Korea, Republic of",SEOUL CITY,KOREA MARINE TRANSPORT CO / E. C. TEAM
KNHU,Slovakia,Bratislava,"PROCHEMICAL GROUP, S.R.O."
KNLU,Denmark,Copenhagen,MAERSK A/S
KNTU,United States,"PORTLAND, OR 97203",KANTO CORPORATION INC.
KOCU,"Korea, Republic of",Busan,KOREA OCEAN BUSINESS CORPORATION
KONU,Poland,Kobylnica,KONTIX SP. Z O.O.
KOSU,United States,"DORAL, FL 33172",KING OCEAN SERVICES LTD
KPCU,India,PUNE 411013,"KIRLOSKAR PNEUMATIC CO. LTD. HADAPSAR, PUNE"
KPKU,Poland,Warsaw,KRAJMAN PIOTR KRAJEWSKI
KPSU,China,SHANGHAI,KANTO-PPC (SHANGHAI) INC.
KQTU,"Taiwan, China",Taoyuan,"KEIKU CO., LTD."
KRCU,New Zealand,Auckland,KIWIRAIL
KRFU,"Korea, Republic of","Uiwang-si, Gyeonggi-do",KOREA RAILROAD RESEARCH INSTITUTE
KRIU,Netherlands,Lepelstraat,KRICON SERVICES B.V.
KRLU,India,NOIDA,KRIBHCO INFRASTRUCTURE LTD
KRMU,Germany,Bielefeld,HANS-GEORG KRAMER MOBELTRANSPORTE
KROU,Belarus,Mogilev district,KRONOCHEM LLC
KRPU,Russian Federation,Krasnoyarsk-city,JSC «KRASNOYARSK RIVER PORT»
KRTU,Germany,DAHLENBURG,KRAMPITZ TRANKSYSTEM GMBH
KSAU,Latvia,RIGA,KSAN SIA
KSFU,India,Mumbai,KING STAR FREIGHT PVT. LTD.
KSIU,Russian Federation,"Blagoveshchensk, Amurskaya oblast'",LLC KISLOROD PREMIUM
KSTU,Austria,PISCHELSDORF,SCHILDECKER TRANSPORT GMBH
KSZU,Belarus,SMORGON,SILVA BY FLLC
KTCU,United States,"San Ramon, CA 94583","AEROSOL GAS COMPANY, INC"
KTDU,Germany,HAMBURG,CONDACO & KTD-M GMBH
KTIU,Germany,Balzheim,KTI-PLERSCH KALTETECHNIK GMBH
KTKU,Russian Federation,Saint Petersburg,LLC KTK TRAIDING (INN 7805711190)
KTNU,Netherlands,ROTTERDAM,K-TAINER TRADING BV
KTOU,Belgium,IZEGEM,KTO NV
KTSU,Kazakhstan,Nur-Sultan,KTZ EXPRESS JSC
KTTU,Russian Federation,Saint Petersburg,KOTTA CONTAINER COMPANY LTD
KTZU,Kazakhstan,Nur-Sultan,KTZ EXPRESS JSC
KUBU,Germany,HAMBURG,KUBE & KUBENZ INT. SPEDITION-UND
KUDU,Australia,"HEMMANT, Queensland",GATEWAY CONTAINER SALES & HIRE PTY LTD
KUUU,Russian Federation,Petropavlovsk-Kamchatsky,KAMCHATKA SHIPPING COMPANY
KVOU,Russian Federation,Kstovo,RUSVINYL LLC
KWCU,Bermuda,"HAMILTON, HM HX",TEXTAINER EQUIPMENT MANAGEMENT LTD
KWKU,United States,"Pearland, TX-77581, Texas",KWIK EQUIPMENT SALES LLC
KWTU,Austria,REGAU,W. KOBRUNNER HANDELS-U. GUTERTRANSPORTE GMBH
KWUU,Germany,ERLANGEN,FRAMATOME GMBH
KXTU,Japan,TOKYO,KAWASAKI KISEN KAISHA LTD - K LINE
KYSU,Japan,TOKYO,KYOGOKU UNYU SHOJI CO LTD
KZEU,Kazakhstan,Nur-Sultan,KTZ EXPRESS JSC
LABU,Austria,STRASSWALCHEN,LAGERMAX AUTOTRANSPORT GMBH
LAFU,Netherlands,'s-Hertogenbosch,L & T B.V.
LAHU,Netherlands,'s-Hertogenbosch,L & T B.V.
LAMU,Turkey,Istanbul,LAM KARA HAVA VE DENIZ TASIMACILIK AS
LANU,Singapore,Singapore,SEA-LAND LOGISTICS ENTERPRISES PTE LTD
LARU,Switzerland,ZUG,LAROUTE SA
LASU,France,BOULOGNE,SOCOMAT
LAUU,Germany,BERG,LAUTERBACH SPEDITIONS-GMBH
LBCU,Germany,BIBERACH,LIEBHERR-WERK BIBERACH GMBH
LBGU,"Virgin Islands, British",Road Town Tortola,"LUBIAO CONTAINER CO., LTD"
LBIU,Germany,HAMBURG,HAPAG LLOYD A.G
LBOU,Switzerland,GENEVE,TERMCOTANK SA
LCEU,United States,"CHARLOTTE, NC-28208",LIVENT
LCGU,Germany,EGESTORF,LOTUS CONTAINERS GMBH
LCIU,United States,"LINCOLN, NE 68524",HEXAGON LINCOLN
LCKU,France,EYBENS,LOCATANK S.A.
LCLU,Russian Federation,SAINT PETERSBURG,CONTAINER LEASING
LCRU,Netherlands,ROTTERDAM,CARU CONTAINERS BV
LCTU,Ukraine,Kiev,LEVADA CARGO LLC
LCUU,India,NAVI MUMBAI,LANCER CONTAINER LINES LTD
LCXU,United States,DORAL,LOGIX CAPITAL LLC
LCYU,"Taiwan, China",Kaohsiung,LCY CHEMICAL CORP.
LDRU,Turkey,SAMSUN,TURKEY RUSSIA LOGISTICS CORPORATION
LDVU,Viet Nam,Ba Ria Vung Tau Province,LINDE GAS VIETNAM LTD
LDZU,Latvia,RIGA,STATE JOINT STOCK COMPANY-LATVIJAS DZELZCELS
LEAU,Italy,LIVORNO,SO.GE.SE SRL
LECU,Haiti,DELMAS,INDUSTRIAL DYNAMICS
LEDU,Russian Federation,St Petersburg,SPECTEKHKOMPLEKT LTD.CO
LEEU,Netherlands,VRIEZENVEEN,TRANSPORTBEDRIJF H.A. LEEMANS B.V.
LEGU,Singapore,Singapore,LEGEND LOGISTICS LIMITED
LEHU,Germany,DUISBURG,IMPERIAL CHEMICAL TRANSPORT GMBH
LEIU,Portugal,MOITA,SET LINNINGS INTERNATIONAL S.A
LELU,Malaysia,"KLANG,  SELANGOR",LOGISTICS EXPEDITORS SDN BHD
LEPU,India,Erode,LAVA ENGINEERING COMPANY
LERU,Germany,LEER,BBC CHARTERING GMBH - AS AGENTS
LETU,Cuba,LA HABANA,BLUE BALTIC SHIPPING & TRADING LIMITED
LFCU,China,Shanghai,HONGKONG SHANGHAI LIFENG LEASING COMPANY LIMITED
LFGU,Switzerland,Zug,P&R EQUIPMENT & FINANCE CORP.
LFIU,Seychelles,MAHE,LOFTY STARS GLOBAL LIMITED
LFTU,Germany,MÜNCHSMÜNSTER,LFT GMBH INTERNATIONALE
LGAU,China,DISTRICT TIANJIN,LINGGAS (TIANJIN) LIMITED
LGEU,Netherlands,ROTTERDAM,CARU CONTAINERS BV
LGIU,Italy,ARLUNO (MI),LINDE GAS ITALIA SRL
LGKU,Lithuania,VILNIUS,AB LG CARGO
LGNU,Brazil,RIO DE JANEIRO,LOG IN LOGISTICA INTERMODAL S.A.
LGSU,Singapore,Singapore,LINDE GAS SINGAPORE PTE LTD
LGVU,France,GIF SUR YVETTE,ORANO DS - DEMENTELEMENT ET SERVICES
LGXU,Argentina,BUENOS AIRES,LOGIX S.A.
LHEU,HK,Hong Kong,BLUE SKY (HK) INTERNATIONAL TRADING LIMITED
LHZU,Ukraine,Lviv,LVIV CHEMICAL PLANT JSC
LICU,Lithuania,VILNIUS,INTERMODAL CONTAINER SERVICE
LINU,Germany,PULLACH,"LINDE GMBH, LINDE GAS DEUTSCHLAND"
LIQU,Italy,Treviso,LIQUIMET S.p.A.
LIXU,"Virgin Islands, British","ROAD TOWN, TORTOLA",CROSSTRADE SHIPPING LTD
LKCU,Denmark,Hellerup,LAURITZEN KOSAN A/S
LKDU,United States,"Houston, TX 77042",BULKUID
LLNU,Belgium,LOUVAIN LA NEUVE,BDC INTERNATIONAL SA
LLTU,Bermuda,"HAMILTON, HM HX",TEXTAINER EQUIPMENT MANAGEMENT LTD
LMCU,Italy,GENOVA  GE,IGNAZIO MESSINA & CO
LMEU,Spain,Torrejon de Ardoz,LANTIA MARITIMA
LMRU,France,VALOGNES,L.M.C. (LEMARECHAL CELESTIN)
LNDU,United States,"Bridgewater, NJ 08807",LINDE GAS NA LLC
LNGU,Russian Federation,Saint Petersburg,GEFEST LTD
LNNU,Russian Federation,Nizhny Novgorod,LLC LUKOIL-NIZHEGORODNEFTEORGSINTEZ
LNXU,Germany,HAMBURG,HAPAG LLOYD A.G
LOCU,Brazil,SANTOS,LOCALLTAINER LOCACOES DE CONTAINERS COM.E.SERV.LTDA
LOEU,Germany,NEUSS,LOESCHE GMBH
LOGU,Netherlands,Rotterdam,EUROTAINER SA
LOMU,Italy,CAMPALTO VE,LEVORATO MARCEVAGGI SRL
LONU,Switzerland,BASEL,LONZA LTD
LOSU,Denmark,HOJBJERG,EMERSON CLIMATE TECHNOLOGIES
LOTU,Denmark,Copenhagen,MAERSK A/S
LOUU,United States,"WILMINGTON, NC-28412",INTERNATIONAL SHIPPING CO. INC.
LPCU,United Kingdom,LARNE,CATERPILLAR (NI) LTD
LPKU,Malaysia,KUANTAN,SYARIKAT LOGISTIK PETIKEMAS SDN BHD
LPLU,Poland,TORUN,LAUDE SMART INTERMODAL S.A.
LRSU,Russian Federation,YAKUTSK,JSC LENA UNITED SHIPPING COMPANY
LRTU,Russian Federation,Kaliningrad,LAUDE LLC
LSCU,Philippines,MANILA,LORENZO SHIPPING CORP.
LSEU,United States,"OAKLAND, CA-94607",ONE WAY LEASE INC.
LSFU,Finland,PIIKKIO,LANGH GROUP OY AB
LSGU,Turkey,ISTANBUL,LANDSEA GLOBAL TASIMACILIK VE TICARET A.
LSHU,Denmark,Tilst,LS HOLDING APS
LSIU,Denmark,FREDERICIA,LS INTERTANK APS
LSLU,Singapore,Singapore,SEA-LAND LOGISTICS ENTERPRISES PTE LTD
LSNU,"Korea, Republic of",ULSAN CITY,LS-NIKKO COPPER
LSPU,China,Kunshan,KUNSHAN ASIA UNION ELECTRONIC CHEMICAL CO LTD
LSRU,China,Luoyang,"LUOYANG SUNRUI SPECIAL EQUIPMENT CO.,LTD"
LSTU,Denmark,FREDERICIA,LS INTERTANK APS
LTBU,Spain,ALGECIRAS,"IBERIA CRANES & CONTAINER, SL"
LTCU,Netherlands,Bergen,LEASE TC BV
LTEU,Cyprus,LIMASSOL,TEU CONSERVICES LTD
LTGU,China,INNER MONGOLIA,INNER MONGOLIA LANTAI SODIUM INDUSTRY CO LTD
LTIU,Italy,TRIESTE TS,ITALIA MARITTIMA S.P.A
LTSU,Denmark,Aalborg Øst,LOGICSHIPPINGTRADING APS
LTUU,Lithuania,VILNIUS,LITHUANIAN ARMED FORCES LOGISTICS SUPPORT COMMAND
LTXU,United Kingdom,SOUTHEND ON SEA,LONDON TANK MANAGEMENT LTD
LUNU,Italy,Olbia,NUOVA LOGISTICA LUCIANU SRL
LUPU,Germany,GUNZBURG,ARKEMA GMBH
LUVU,United States,"Punta Gorda, FL 33950","L&P LOGISTICS, INC"
LVIU,China,"Beijing, 100101","LINGGAS, LIMITED"
LVNU,Colombia,BOGOTA,FLEXBOX COLUMBIA SAS
LVSU,United Kingdom,BURTON-ON-TRENT,LCS CONTAINERS
LWCU,United Kingdom,LONDON,PEOPLE TECHNOLOGY SOLUTIONS LTD
LXAU,Luxembourg,DIEKIRCH,LUXEMBOURG ARMY
LXLU,China,"Sichuan Province,",KMT GAS
LXSU,Germany,LEVERKUSEN,LANXESS  DEUTSCHLAND GMBH
LYGU,China,LIANYUNGANG,"DONG FANG INTERNATIONAL CONTAINER (LIANYUNGANG) CO., LTD"
LYKU,Germany,HAMBURG,HAPAG LLOYD A.G
LYSU,Denmark,COPENHAGEN,DFDS A/S
MACU,Italy,CATANIA,ADR TRASPORTI SRL
MAEU,Denmark,Copenhagen,MAERSK A/S
MAGU,Bermuda,"HAMILTON, HM HX",TEXTAINER EQUIPMENT MANAGEMENT LTD
MAKU,Greece,THESSALONIKI,MAKIOS LOGISTICS
MALU,Denmark,Copenhagen,MAERSK A/S
MAMU,Netherlands,SCHIEDAM,MAMMOET EUROPE BV
MANU,Netherlands,ROTTERDAM,CARU CONTAINERS BV
MARU,Netherlands,ROTTERDAM,CARU CONTAINERS BV
MASU,Egypt,ALEXANDRIA,MAS SHIPPING & TRADING
MATU,United States,"OAKLAND, CA 94610","MATSON NAVIGATION COMPANY, INC"
MAXU,Bermuda,"HAMILTON, HM HX",TEXTAINER EQUIPMENT MANAGEMENT LTD
MBAU,Switzerland,MOOSSEEDORF,MARTI INFRA AG
MBBU,HK,KOWLOON,MULTIBOXX LIMITED
MBDU,HK,KOWLOON,MULTIBOXX LIMITED
MBFU,Malaysia,KUALA LUMPUR,MBF CARPENTERS SHIPPING LTD
MBGU,HK,KOWLOON,MULTIBOXX LIMITED
MBIU,United Kingdom,LIVERPOOL,MORBRIDGE INTERNATIONAL LTD
MBTU,HK,KOWLOON,MULTIBOXX LIMITED
MBWU,Germany,SENGENTHAL,MAX BOEGL STIFTUNG & CO KG
MBXU,Hungary,BUDAPEST,MOBILBOX CONTAINER TRADING LTD
MCAU,Denmark,Copenhagen,MAERSK A/S
MCBU,Germany,Steinfurt,MOELLER CHEMIE GMBH & CO. KG
MCCU,HK,Hong Kong,MAXON C&T CORPORATION LIMITED
MCDU,United States,"Milford, MI 48381","4D BUILDING, INC."
MCEU,Germany,Hamburg,MERCURY CONTAINER TRADING GMBH
MCFU,"Moldova, Republic of",KISHINEV,STATE ENTERPRISE RAILWAYS OF MOLDOVA
MCGU,Japan,Tokyo,"MITSUI CHEMICALS, INC."
MCHU,Denmark,Copenhagen,MAERSK A/S
MCIU,Denmark,TINGLEV,MAERSK CONTAINER INDUSTRY AS
MCKU,United States,Clinton,MOUNTAIN CONTAINER TRADING INC
MCLU,United Kingdom,LONDON EC1Y 4XY,BORCHARD LINES LTD
MCMU,Switzerland,GENEVE,MANAGEMENT CONTROL & MAINTENANCE S.A.
MCNU,Morocco,CASABLANCA,MAROC CONTENEURS INTERNATIONAL
MCOU,Netherlands,BERKEL EN RODENRIJD,4SEAS SHIPPING AND FORWARDING BV
MCPU,Singapore,SOUTHPOINT,SEALAND MAERSK ASIA PTE LTD
MCRU,Denmark,Copenhagen,MAERSK A/S
MCTU,Singapore,Singapore,MARIANA EXPRESS LINES PTE LTD
MCUU,Sweden,Gothenburg,MCR MOBILE CONTAINER REPAIR AB
MCZU,Czech Republic,PRAGUE,MINISTRY OF DEFENCE OF THE CZECH REPUBLIC
MDCU,China,Shanghai,"MEDLOG (SHANGHAI) CO.,LTD."
MDEU,France,VILLACOUBLAY,MINISTERE DE LA DEFENSE (CSOA/SIMMT)
MDIU,Italy,Napoli,M.D. SRL
MDKU,Austria,KREMS,RHENUS LOGISTICS AUSTRIA GMBH
MDLU,Japan,TOKYO,MITSUBISHI CORPORATION
MDOU,China,"QINGDAO CITY,",QINGDAO MMD OFFSHORE  CO LTD
MDPU,HK,Hong Kong,MODERN SHIPPING LINES CO LTD
MDSU,United Kingdom,"ASHFORD, KENT",QINETIQ TARGET SYSTEMS LIMITED
MDUU,Germany,Nürnberg,MDU MAIN-DONAU-UMSCHLAGS-TRANSPORT-GMBH
MEBU,Netherlands,MOERDIJK,MEEBERG CONTAINER SERVICE BV
MECU,Cuba,CIUDAD DE LA HABANA,MELFI MARINE CORP. S.A
MEDU,Switzerland,GENEVE,MSC- MEDITERRANEAN SHIPPING COMPANY S.A.
MEEU,Netherlands,Bergen op Zoom,MEPAVEX LOGISTICS BV
MEGU,China,SHANGHAI,SHANGHAI MEG IMPORT AND EXPORT CORPORATION
MELU,Denmark,Esbjerg V,JORN BOLDING A/S
MEMU,Netherlands,BOLSWARD,MELKWEG / FRITOM BV
MENU,Spain,PALAFOLLS,"MENADIONA, S.L."
MERU,Singapore,Singapore,MARIANA EXPRESS LINES PTE LTD
MESU,Greece,GLYFADA,NEST LTD INTERNATIONAL TRANSPORTS FLEXITANK SERVICES
METU,Czech Republic,Senov,METAMORFOZA CZ s.r.o.
MEXU,Singapore,Singapore,MARIANA EXPRESS LINES PTE LTD
MFAU,Australia,Prestons,MAINFREIGHT (AUSTRALIA)
MFCU,Germany,KAUFBEUREN,FINSTERWALDER CONTAINER GMBH
MFRU,France,MARSEILLE,MARFRET S.A.
MFTU,France,MARSEILLE,MARFRET S.A.
MGEU,Singapore,SINGAPORE,MONTER GLOBAL LOGISTICS (S) PTE LTD
MGGU,Germany,BAD SODEN,MESSER GROUP GMBH
MGIU,Netherlands,Valkenswaard,MEGA-INLINER SYSTEMS B.V.
MGLU,Bermuda,"HAMILTON, HM HX",TEXTAINER EQUIPMENT MANAGEMENT LTD
MGMU,United States,"WALNUT, CA 91789","MEGA CONTAINERS SALES, INC"
MGNU,United States,"WOODCLIFF LAKE, N.J. 07677",SEACUBE CONTAINERS LLC
MGSU,Malaysia,Kuala Lumpur,MGS OFFSHORE SDN BHD
MGTU,Germany,Berlin,MAGITU GMBH
MHCU,Seychelles,MAHE,MAG CONTAINER LINES INC
MHFU,United States,"WEXFORD, PA 150190-9289",MHF SERVICES
MHHU,Denmark,Copenhagen,MAERSK A/S
MHIU,Japan,Nagoya,"MITSUBISHI HEAVY INDUSTRIES, LTD."
MHVU,Netherlands,Rotterdam/Pernis,MAINPORT CONTAINER SERVICES B.V.
MIAU,Switzerland,PONTRESINA,MONTEBELLO AG
MICU,HK,HONG KONG,PAN PACIFIC INTL TRADING GROUP (HK) LTD
MIEU,Denmark,Copenhagen,MAERSK A/S
MIIU,Estonia,Lagedi,MIIL OÜ
MIMU,Belgium,ANTWERP,MIMU BVBA
MINU,Germany,GELSENKIRCHEN,SPEDITION MINOR GMBH
MIOU,Cyprus,Limassol,MIOULIO SHIPPING COMPANY LIMITED
MIPU,Indonesia,Jakarta Selatan,PT. INDONESIA MOROWALI INDUSTRIAL PARK
MIRU,Belgium,Rijkevorsel,MIRROR PALACE BVBA
MISU,Cyprus,Limassol,MIOULIO SHIPPING COMPANY LIMITED
MITU,Denmark,RISSKOV,PS SURVEY & CLAIM SERVICES APS
MIXU,Spain,MADRID,LOGISTICA SUARDIAZ SL
MJTU,Netherlands,BREDA,ALE HEAVYLIFT B.V.
MKAU,Germany,MULHEIM-KAERLICH,RWE NUCLEAR GMBH
MKLU,Turkey,ISTANBUL,MEDKON LINES
MKTU,Russian Federation,Nakhodka,MK REFTRANS CO. LTD.
MKVU,Russian Federation,MOSCOW,TANK-YARD LLC
MKYU,Australia,NORTH MACKAY,MACKAY CONTAINERS PTY LTD
MLAU,Malta,Kalkara,"MANUFACTURING MANAGEMENT, MALTA LTD"
MLCU,Bermuda,"HAMILTON, HM HX",TEXTAINER EQUIPMENT MANAGEMENT LTD
MLGU,Spain,SAN FERNANDO DE HENARES,"MOLGAS ENERGIA, SAU"
MLIU,Japan,"MINATO-KU, TOKYO",MITSUBISHI CHEMICAL LOGISTICS CORPORATION
MLKU,United States,"BALA CYNWYD, PA 19004",MATLACK LEASING LLC
MLLU,Sri Lanka,Kelaniya,METRO LOGISTICS INTERNATIONAL (PVT) LTD
MLMU,Netherlands,Westmaas,MOOSE TANK PARTS
MLRU,Russian Federation,Moscow,LLC «REPETEK»
MLSU,United States,"RIDGELAND, MS-39152",MILLER INTERMODAL LOGISTICS SERVICES INC
MLTU,Uruguay,MONTEVIDEO,MULCON SA
MLUU,United States,Chicago,MILITARY & LOGISTIC CONTAINER SHELTERS
MMAU,Denmark,Copenhagen,MAERSK A/S
MMCU,France,MARSEILLE CEDEX 02,CMA-CGM
MMJU,France,MOKA,MARITIME EQUIPMENT SUPPLY
MMLU,Luxembourg,DUDELANGE,CFL MULTIMODAL SA
MMMU,United States,"WAYNE, MI 48184",MCCAUGHRIN MARITIME MARINE SYSTEMS INC.
MMNU,United Kingdom,STOCKTON ON TEES TS18 3TX,MOBILE MINI UK LIMITED
MMRU,United States,"ROCKLEDGE, FL 32955",MAINSTREAM ENGINEERING CORPORATION
MNBU,Denmark,Copenhagen,MAERSK A/S
MNOU,France,Tourlaville,MAINCO
MNTU,Spain,BARCELONA,TRANSPORT MONTSANT S.A
MOAU,Japan,"MINATO-KU, TOKYO",MITSUI O.S.K. LINES LTD
MOBU,Belgium,Genk,MOVE INTERMODAL NV
MOCU,Germany,HAMBURG,MACS MARITIME CARRIER SHIPPING GMBH & CO
MODU,Russian Federation,ST PETERSBURG,MODUL LTD
MOEU,Japan,"MINATO-KU, TOKYO",MITSUI O.S.K. LINES LTD
MOFU,Japan,"MINATO-KU, TOKYO",MITSUI O.S.K. LINES LTD
MOGU,Japan,"MINATO-KU, TOKYO",MITSUI O.S.K. LINES LTD
MOJU,Brazil,ITAJAI SANTA CATARINA,MONTEIRO CONSTRUCOES E SERVICOS LTDA
MOLU,Japan,"MINATO-KU, TOKYO",MITSUI O.S.K. LINES LTD
MOMU,Germany,HAMBURG,HAPAG LLOYD A.G
MONU,United States,"SAINT LOUIS, MO-63167",MONSANTO COMPANY
MOOU,Singapore,Singapore,MODEX ENERGY RENTALS SINGAPORE PTE. LTD.
MORU,Japan,"MINATO-KU, TOKYO",MITSUI O.S.K. LINES LTD
MOSU,Japan,"MINATO-KU, TOKYO",MITSUI O.S.K. LINES LTD
MOTU,Japan,"MINATO-KU, TOKYO",MITSUI O.S.K. LINES LTD
MPAU,United States,"Theodore, AL 36582",MITSUBISHI POLYCRYSTALLINE SILICON AM CO
MPBU,Russian Federation,SAINT PETERSBURG,LLC REFPEREVOZKY
MPKU,Belarus,Mogilev,"POLYGON MPK, LLC"
MPMU,Germany,LEVERKUSEN,MOMENTIVE PERFORMANCE MATERIALS GMBH
MPRU,Uruguay,MONTEVIDEO,MONTEVIDEO PORT SERVICES S.A
MPSU,Netherlands,AALST,MODULAR PONTOON SYSTEMS BV
MRBU,Germany,WESSLING,GERMAN AEROSPACE CENTER
MRCU,Russian Federation,Saint-Petersburg,"LLC ""EMRCC"""
MRGU,Spain,MADRID,"MARGUISA SHIPPING LINES, S.L.U."
MRKU,Denmark,Copenhagen,MAERSK A/S
MRNU,Russian Federation,VLADIVOSTOK,MARINETEC LTD
MRSU,Denmark,Copenhagen,MAERSK A/S
MRTU,Indonesia,SURABAYA,PT MERATUS LINE
MRVU,Belgium,ERTVELDE-RIEME,MERVIELDE TRANSPORT NV
MRZU,Italy,NOVI LIGURE (AL),MARENZANA SPA
MSAU,Denmark,Copenhagen,MAERSK A/S
MSCU,Switzerland,GENEVE,MSC- MEDITERRANEAN SHIPPING COMPANY S.A.
MSDU,Switzerland,GENEVE,MSC- MEDITERRANEAN SHIPPING COMPANY S.A.
MSFU,Denmark,Copenhagen,MAERSK A/S
MSKU,Denmark,Copenhagen,MAERSK A/S
MSMU,Switzerland,GENEVE,MSC- MEDITERRANEAN SHIPPING COMPANY S.A.
MSNU,Switzerland,GENEVE,MSC- MEDITERRANEAN SHIPPING COMPANY S.A.
MSOU,Denmark,RISSKOV,M/S CONTAINERS A/S
MSPU,Switzerland,GENEVE,MSC- MEDITERRANEAN SHIPPING COMPANY S.A.
MSRU,United States,"DENVER, CO 80202",MICROSTAR LOGISTICS
MSSU,France,SAINT MARCEL,MSSA
MSTU,Switzerland,GENEVE,MSC- MEDITERRANEAN SHIPPING COMPANY S.A.
